City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
477,Piacabucu,BR,-10.4056,-36.4344,76.14,82,91,8.52,overcast clouds
478,Ljungby,SE,56.8332,13.9408,47.79,82,100,12.19,light rain
479,Batemans Bay,AU,-35.7167,150.1833,64.2,95,100,7.27,light rain
480,Ust-Nera,RU,64.5667,143.2,-17.81,100,95,1.14,overcast clouds
481,Salinas,US,36.6777,-121.6555,58.96,89,90,6.91,mist
482,Kalol,IN,22.6,73.45,85.44,42,30,6.85,scattered clouds
483,Jati,PK,24.3539,68.2671,85.46,27,0,15.03,clear sky
484,Douglas,US,41.3,-96.167,44.15,58,1,1.01,clear sky
485,Bagdarin,RU,54.4333,113.6,13.5,86,100,2.84,overcast clouds
486,Yuzhno-Kurilsk,RU,44.0306,145.8556,39.33,62,22,26.15,few clouds
487,Kungurtug,RU,50.5994,97.5228,5.52,61,100,9.98,overcast clouds
488,Grande Prairie,CA,55.1667,-118.8027,17.78,93,90,12.66,snow
489,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,75,100,9.62,overcast clouds
490,Catania,IT,37.5021,15.0872,59.72,87,0,5.75,clear sky
491,Santa Maria Da Boa Vista,BR,-8.8078,-39.8256,74.66,69,82,11.43,broken clouds
